entity,entityLabel
http://www.wikidata.org/entity/Q30175498,Q30175498
http://www.wikidata.org/entity/Q97319426,Q97319426
http://www.wikidata.org/entity/Q98703899,Q98703899
http://www.wikidata.org/entity/Q98771255,Q98771255
http://www.wikidata.org/entity/Q19204627,American football player
http://www.wikidata.org/entity/Q13414980,Australian rules football player
http://www.wikidata.org/entity/Q20751891,Brazilian jiu-jitsu practitioner
http://www.wikidata.org/entity/Q66759460,English billiards player
http://www.wikidata.org/entity/Q21423578,Frisian handball player
http://www.wikidata.org/entity/Q17351861,Gaelic football player
http://www.wikidata.org/entity/Q61707268,Gaelic handball player
http://www.wikidata.org/entity/Q3759615,Generation of phenomena
http://www.wikidata.org/entity/Q12039558,Go player
http://www.wikidata.org/entity/Q1614023,Herrenfahrer
http://www.wikidata.org/entity/Q96864583,Pencak silat athlete
http://www.wikidata.org/entity/Q26326102,Swiss wrestler
http://www.wikidata.org/entity/Q23067916,Valencian pilota player
http://www.wikidata.org/entity/Q97487735,aerobic gymnast
http://www.wikidata.org/entity/Q27062049,aizkolari
http://www.wikidata.org/entity/Q19595175,amateur wrestler
http://www.wikidata.org/entity/Q13382355,archer
http://www.wikidata.org/entity/Q88109996,archery biathlete
http://www.wikidata.org/entity/Q56677347,arm wrestler
http://www.wikidata.org/entity/Q937857,association football player
http://www.wikidata.org/entity/Q11513337,athletics competitor
http://www.wikidata.org/entity/Q13141064,badminton player
http://www.wikidata.org/entity/Q18702210,bandy player
http://www.wikidata.org/entity/Q10871364,baseball player
http://www.wikidata.org/entity/Q3665646,basketball player
http://www.wikidata.org/entity/Q810927,batter
http://www.wikidata.org/entity/Q21057452,beach soccer player
http://www.wikidata.org/entity/Q30525637,beach tennis player
http://www.wikidata.org/entity/Q17361156,beach volleyball player
http://www.wikidata.org/entity/Q23719050,boccia player
http://www.wikidata.org/entity/Q15982795,bodybuilder
http://www.wikidata.org/entity/Q33135515,boules player
http://www.wikidata.org/entity/Q4951095,bowler
http://www.wikidata.org/entity/Q29579227,bowls player
http://www.wikidata.org/entity/Q11338576,boxer
http://www.wikidata.org/entity/Q767703,breakdancer
http://www.wikidata.org/entity/Q18437198,bridge player
http://www.wikidata.org/entity/Q549322,bullfighter
http://www.wikidata.org/entity/Q29474561,camogie player
http://www.wikidata.org/entity/Q13382566,canoeist
http://www.wikidata.org/entity/Q584540,captain
http://www.wikidata.org/entity/Q913532,charro
http://www.wikidata.org/entity/Q28971125,cheerleader
http://www.wikidata.org/entity/Q10873124,chess player
http://www.wikidata.org/entity/Q2465611,co-driver
http://www.wikidata.org/entity/Q72168361,coastal rower
http://www.wikidata.org/entity/Q16004431,competitive diver
http://www.wikidata.org/entity/Q12299841,cricketer
http://www.wikidata.org/entity/Q24238692,croquet player
http://www.wikidata.org/entity/Q71550599,crossbowman
http://www.wikidata.org/entity/Q18574233,darts player
http://www.wikidata.org/entity/Q29466935,disc golfer
http://www.wikidata.org/entity/Q63915541,dodgeball player
http://www.wikidata.org/entity/Q43644099,draftee
http://www.wikidata.org/entity/Q53645345,duathlete
http://www.wikidata.org/entity/Q2730732,equestrian
http://www.wikidata.org/entity/Q1385518,extreme sports athlete
http://www.wikidata.org/entity/Q13381863,fencer
http://www.wikidata.org/entity/Q10843263,field hockey player
http://www.wikidata.org/entity/Q28870526,fistball player
http://www.wikidata.org/entity/Q23868946,floorball player
http://www.wikidata.org/entity/Q97610399,football tennis player
http://www.wikidata.org/entity/Q2749653,forcado
http://www.wikidata.org/entity/Q969772,free agent
http://www.wikidata.org/entity/Q17318006,freediver
http://www.wikidata.org/entity/Q55962467,goalball player
http://www.wikidata.org/entity/Q11303721,golfer
http://www.wikidata.org/entity/Q14128148,gridiron football player
http://www.wikidata.org/entity/Q5610177,grommet
http://www.wikidata.org/entity/Q16947675,gymnast
http://www.wikidata.org/entity/Q12840545,handball player
http://www.wikidata.org/entity/Q27062349,harri-jasotzailea
http://www.wikidata.org/entity/Q18199024,hurler
http://www.wikidata.org/entity/Q18706712,ice cross downhill racer
http://www.wikidata.org/entity/Q11774891,ice hockey player
http://www.wikidata.org/entity/Q98073294,ice sport practitioner
http://www.wikidata.org/entity/Q88209013,ice stock player
http://www.wikidata.org/entity/Q72166732,indoor rower
http://www.wikidata.org/entity/Q65697958,inline hockey player
http://www.wikidata.org/entity/Q50259293,inline skater
http://www.wikidata.org/entity/Q58823986,jetski racer
http://www.wikidata.org/entity/Q6665249,judoka
http://www.wikidata.org/entity/Q28164897,jujutsuka
http://www.wikidata.org/entity/Q16004471,kayaker
http://www.wikidata.org/entity/Q11296761,kickboxer
http://www.wikidata.org/entity/Q17519504,kitesurfer
http://www.wikidata.org/entity/Q23754399,korfball player
http://www.wikidata.org/entity/Q87252988,kyūdōka
http://www.wikidata.org/entity/Q17682262,lacrosse player
http://www.wikidata.org/entity/Q11124885,martial artist
http://www.wikidata.org/entity/Q3388309,medical joker
http://www.wikidata.org/entity/Q2312865,military athlete
http://www.wikidata.org/entity/Q98713221,minigolf player
http://www.wikidata.org/entity/Q11607585,mixed martial artist
http://www.wikidata.org/entity/Q6885897,mnemonist
http://www.wikidata.org/entity/Q30339659,motorsports competitor
http://www.wikidata.org/entity/Q9149093,mountaineer
http://www.wikidata.org/entity/Q500097,musher
http://www.wikidata.org/entity/Q17619498,netballer
http://www.wikidata.org/entity/Q67202689,nine-pin bowler
http://www.wikidata.org/entity/Q21081635,ocean rower
http://www.wikidata.org/entity/Q24573123,oină player
http://www.wikidata.org/entity/Q13581129,orienteer
http://www.wikidata.org/entity/Q2540672,pacemaker
http://www.wikidata.org/entity/Q59716278,paddle player
http://www.wikidata.org/entity/Q11939963,pancratiast
http://www.wikidata.org/entity/Q26111624,paraglider pilot
http://www.wikidata.org/entity/Q62627163,pedestrian
http://www.wikidata.org/entity/Q18667447,pesäpallo player
http://www.wikidata.org/entity/Q19746576,player of Basque pelota
http://www.wikidata.org/entity/Q49904510,player of jeu de paume
http://www.wikidata.org/entity/Q13218361,polo player
http://www.wikidata.org/entity/Q27503001,professional athlete
http://www.wikidata.org/entity/Q13474373,professional wrestler
http://www.wikidata.org/entity/Q63095188,pugilist
http://www.wikidata.org/entity/Q23452173,pétanque player
http://www.wikidata.org/entity/Q88203001,rackets player
http://www.wikidata.org/entity/Q17611899,racquetball player
http://www.wikidata.org/entity/Q56164819,radiosportsperson
http://www.wikidata.org/entity/Q26233091,real tennis player
http://www.wikidata.org/entity/Q18920523,ringette player
http://www.wikidata.org/entity/Q78063080,rinkball player
http://www.wikidata.org/entity/Q58546307,roller derby player
http://www.wikidata.org/entity/Q61278580,roller skater
http://www.wikidata.org/entity/Q13382576,rower
http://www.wikidata.org/entity/Q13415036,rugby player
http://www.wikidata.org/entity/Q476246,sailor
http://www.wikidata.org/entity/Q23927336,sambo fighter
http://www.wikidata.org/entity/Q66839062,savateur
http://www.wikidata.org/entity/Q27062494,segalari
http://www.wikidata.org/entity/Q38079409,shinty player
http://www.wikidata.org/entity/Q17502714,skateboarder
http://www.wikidata.org/entity/Q6060450,skydiver
http://www.wikidata.org/entity/Q41898139,slackliner
http://www.wikidata.org/entity/Q13388586,softball player
http://www.wikidata.org/entity/Q43548373,speedcuber
http://www.wikidata.org/entity/Q2309784,sport cyclist
http://www.wikidata.org/entity/Q22695781,sport fisher
http://www.wikidata.org/entity/Q17486376,sport shooter
http://www.wikidata.org/entity/Q51093963,sportpilot
http://www.wikidata.org/entity/Q67164844,sports dancer
http://www.wikidata.org/entity/Q16278103,squash player
http://www.wikidata.org/entity/Q2324660,state amateur
http://www.wikidata.org/entity/Q7623231,strength athlete
http://www.wikidata.org/entity/Q1852228,strongman
http://www.wikidata.org/entity/Q252628,strongwoman
http://www.wikidata.org/entity/Q13561328,surfer
http://www.wikidata.org/entity/Q10843402,swimmer
http://www.wikidata.org/entity/Q13382519,table tennis player
http://www.wikidata.org/entity/Q13382533,taekwondo athlete
http://www.wikidata.org/entity/Q10833314,tennis player
http://www.wikidata.org/entity/Q21030792,traceur
http://www.wikidata.org/entity/Q15306067,triathlete
http://www.wikidata.org/entity/Q13464374,tug of war competitor
http://www.wikidata.org/entity/Q15117302,volleyball player
http://www.wikidata.org/entity/Q23308797,wakeboarder
http://www.wikidata.org/entity/Q17524364,water polo player
http://www.wikidata.org/entity/Q88191417,western rider
http://www.wikidata.org/entity/Q13382487,windsurfer
http://www.wikidata.org/entity/Q20965770,winter sports practitioner
http://www.wikidata.org/entity/Q27978698,wrestler
http://www.wikidata.org/entity/Q65924683,wushu practitioner
http://www.wikidata.org/entity/Q88207871,épée fencer
