profession,professionLabel
http://www.wikidata.org/entity/Q1000156,Q1000156
http://www.wikidata.org/entity/Q1008767,Q1008767
http://www.wikidata.org/entity/Q1020593,Q1020593
http://www.wikidata.org/entity/Q1020606,Q1020606
http://www.wikidata.org/entity/Q1021671,Q1021671
http://www.wikidata.org/entity/Q1021674,Q1021674
http://www.wikidata.org/entity/Q1021685,Q1021685
http://www.wikidata.org/entity/Q1023916,Q1023916
http://www.wikidata.org/entity/Q1024855,Q1024855
http://www.wikidata.org/entity/Q10262343,Q10262343
http://www.wikidata.org/entity/Q10263607,Q10263607
http://www.wikidata.org/entity/Q10265139,Q10265139
http://www.wikidata.org/entity/Q10265638,Q10265638
http://www.wikidata.org/entity/Q10266820,Q10266820
http://www.wikidata.org/entity/Q10267681,Q10267681
http://www.wikidata.org/entity/Q10270329,Q10270329
http://www.wikidata.org/entity/Q10270331,Q10270331
http://www.wikidata.org/entity/Q10272925,Q10272925
http://www.wikidata.org/entity/Q10272926,Q10272926
http://www.wikidata.org/entity/Q10272928,Q10272928
http://www.wikidata.org/entity/Q10274750,Q10274750
http://www.wikidata.org/entity/Q10274866,Q10274866
http://www.wikidata.org/entity/Q10275001,Q10275001
http://www.wikidata.org/entity/Q10282333,Q10282333
http://www.wikidata.org/entity/Q10282634,Q10282634
http://www.wikidata.org/entity/Q10284385,Q10284385
http://www.wikidata.org/entity/Q10288395,Q10288395
http://www.wikidata.org/entity/Q10288612,Q10288612
http://www.wikidata.org/entity/Q10288905,Q10288905
http://www.wikidata.org/entity/Q1029187,Q1029187
http://www.wikidata.org/entity/Q10292465,Q10292465
http://www.wikidata.org/entity/Q10295545,Q10295545
http://www.wikidata.org/entity/Q10298630,Q10298630
http://www.wikidata.org/entity/Q10303062,Q10303062
http://www.wikidata.org/entity/Q1030581,Q1030581
http://www.wikidata.org/entity/Q10312787,Q10312787
http://www.wikidata.org/entity/Q10312790,Q10312790
http://www.wikidata.org/entity/Q10312794,Q10312794
http://www.wikidata.org/entity/Q10312795,Q10312795
http://www.wikidata.org/entity/Q10312796,Q10312796
http://www.wikidata.org/entity/Q10316220,Q10316220
http://www.wikidata.org/entity/Q10321815,Q10321815
http://www.wikidata.org/entity/Q10324813,Q10324813
http://www.wikidata.org/entity/Q10328002,Q10328002
http://www.wikidata.org/entity/Q10328990,Q10328990
http://www.wikidata.org/entity/Q10329001,Q10329001
http://www.wikidata.org/entity/Q10331372,Q10331372
http://www.wikidata.org/entity/Q10332077,Q10332077
http://www.wikidata.org/entity/Q10332299,Q10332299
http://www.wikidata.org/entity/Q10332916,Q10332916
http://www.wikidata.org/entity/Q10335545,Q10335545
http://www.wikidata.org/entity/Q10340356,Q10340356
http://www.wikidata.org/entity/Q10340357,Q10340357
http://www.wikidata.org/entity/Q10341053,Q10341053
http://www.wikidata.org/entity/Q10341100,Q10341100
http://www.wikidata.org/entity/Q10341101,Q10341101
http://www.wikidata.org/entity/Q10341103,Q10341103
http://www.wikidata.org/entity/Q10341104,Q10341104
http://www.wikidata.org/entity/Q10341344,Q10341344
http://www.wikidata.org/entity/Q10341470,Q10341470
http://www.wikidata.org/entity/Q10341785,Q10341785
http://www.wikidata.org/entity/Q10349045,Q10349045
http://www.wikidata.org/entity/Q10349747,Q10349747
http://www.wikidata.org/entity/Q10349748,Q10349748
http://www.wikidata.org/entity/Q10349749,Q10349749
http://www.wikidata.org/entity/Q10353205,Q10353205
http://www.wikidata.org/entity/Q10353607,Q10353607
http://www.wikidata.org/entity/Q10354168,Q10354168
http://www.wikidata.org/entity/Q10354209,Q10354209
http://www.wikidata.org/entity/Q10354210,Q10354210
http://www.wikidata.org/entity/Q10354212,Q10354212
http://www.wikidata.org/entity/Q10354223,Q10354223
http://www.wikidata.org/entity/Q10354230,Q10354230
http://www.wikidata.org/entity/Q10354266,Q10354266
http://www.wikidata.org/entity/Q10354732,Q10354732
http://www.wikidata.org/entity/Q10354886,Q10354886
http://www.wikidata.org/entity/Q10355017,Q10355017
http://www.wikidata.org/entity/Q10356509,Q10356509
http://www.wikidata.org/entity/Q10356992,Q10356992
http://www.wikidata.org/entity/Q10359056,Q10359056
http://www.wikidata.org/entity/Q10365339,Q10365339
http://www.wikidata.org/entity/Q10368336,Q10368336
http://www.wikidata.org/entity/Q10371634,Q10371634
http://www.wikidata.org/entity/Q10375095,Q10375095
http://www.wikidata.org/entity/Q10379065,Q10379065
http://www.wikidata.org/entity/Q10379066,Q10379066
http://www.wikidata.org/entity/Q10379067,Q10379067
http://www.wikidata.org/entity/Q10384374,Q10384374
http://www.wikidata.org/entity/Q10385597,Q10385597
http://www.wikidata.org/entity/Q10385904,Q10385904
http://www.wikidata.org/entity/Q10389425,Q10389425
http://www.wikidata.org/entity/Q10389671,Q10389671
http://www.wikidata.org/entity/Q10390478,Q10390478
http://www.wikidata.org/entity/Q10390514,Q10390514
http://www.wikidata.org/entity/Q10393316,Q10393316
http://www.wikidata.org/entity/Q10396444,Q10396444
http://www.wikidata.org/entity/Q10397180,Q10397180
http://www.wikidata.org/entity/Q10399601,Q10399601
http://www.wikidata.org/entity/Q10401569,Q10401569
http://www.wikidata.org/entity/Q10404150,Q10404150
http://www.wikidata.org/entity/Q10405943,Q10405943
http://www.wikidata.org/entity/Q10411651,Q10411651
http://www.wikidata.org/entity/Q10416136,Q10416136
http://www.wikidata.org/entity/Q10416956,Q10416956
http://www.wikidata.org/entity/Q10416977,Q10416977
http://www.wikidata.org/entity/Q10423459,Q10423459
http://www.wikidata.org/entity/Q10424535,Q10424535
http://www.wikidata.org/entity/Q10426558,Q10426558
http://www.wikidata.org/entity/Q10427668,Q10427668
http://www.wikidata.org/entity/Q10428635,Q10428635
http://www.wikidata.org/entity/Q10429017,Q10429017
http://www.wikidata.org/entity/Q10429552,Q10429552
http://www.wikidata.org/entity/Q10429665,Q10429665
http://www.wikidata.org/entity/Q10430159,Q10430159
http://www.wikidata.org/entity/Q10434729,Q10434729
http://www.wikidata.org/entity/Q10435966,Q10435966
http://www.wikidata.org/entity/Q10436136,Q10436136
http://www.wikidata.org/entity/Q10438199,Q10438199
http://www.wikidata.org/entity/Q10438361,Q10438361
http://www.wikidata.org/entity/Q10453613,Q10453613
http://www.wikidata.org/entity/Q10453617,Q10453617
http://www.wikidata.org/entity/Q10469226,Q10469226
http://www.wikidata.org/entity/Q10473275,Q10473275
http://www.wikidata.org/entity/Q10474988,Q10474988
http://www.wikidata.org/entity/Q10476883,Q10476883
http://www.wikidata.org/entity/Q10478712,Q10478712
http://www.wikidata.org/entity/Q10481330,Q10481330
http://www.wikidata.org/entity/Q10486827,Q10486827
http://www.wikidata.org/entity/Q10493174,Q10493174
http://www.wikidata.org/entity/Q10493922,Q10493922
http://www.wikidata.org/entity/Q10494302,Q10494302
http://www.wikidata.org/entity/Q10495188,Q10495188
