NUM;FNAME;GNAME;OCCU;DATE;DATE-UT;TZO;PLACE;CY;C2;GEOID;LG;LAT;NOTES-DATE
1;Adaczyk;Marcel;sportsperson;1935-01-05 18:30;;;Conflans-en-Jarnisy;FR;54;3023925;5.85;49.16667;
2;Adams;Walter;sportsperson;1945-03-15 03:00;;;Grauleshof;DE;81;2917900;10.11667;48.83333;
3;Adorni;Vittorio;sportsperson;1937-11-14 08:30;;;Parma;IT;PR;3171457;10.31667;44.8;
4;Agostini;Giacomo;sportsperson;1942-06-16 07:00;;;Roman Catholic Diocese of Brescia;IT;BS;12042120;10.21667;45.55;
5;Aguirre;Jean-Michel;sportsperson;1951-11-02 09:00;;;Mingot;FR;65;2993804;0.16667;43.38333;
6;Alberti;Gilbert;sportsperson;1934-04-07 14:00;;;Ouveillan;FR;11;2988922;2.98333;43.28333;
7;Albertosi;Enrico;sportsperson;1939-11-02 19:00;;;Massa;IT;MS;3173775;10.15;44.03333;
8;Alderson;Brian;sportsperson;1950-05-05 07:40;;;Lochee;GB;;13268895;-3;56.46667;
9;Antoinette;Bernard;sportsperson;1914-03-11 14:00;;;Saint-Clément;FR;76;12494769;1.08333;49.43333;
10;Anzi;Stefano;sportsperson;1949-05-21 01:35;;;Bormio;IT;SO;3181730;10.36667;46.46667;
11;Arabo;Claude;sportsperson;1937-10-03 09:00;;;Nice;FR;6;2990440;7.26667;43.7;
12;Arcari;Bruno;sportsperson;1942-01-01 10:00;;;Atina;IT;FR;3182699;13.8;41.61667;
13;Arese;Francesco;sportsperson;1944-04-13 16:00;;;Centallo;IT;CN;3179167;7.58333;44.5;
14;Artelesa;Marcel;sportsperson;1938-07-02 16:45;;;Lavau;FR;10;3005752;4.1;48.33333;
15;Astre;Richard;sportsperson;1948-08-28 14:30;;;Matabiau;FR;31;12319114;1.45;43.61667;
16;Aubour;Marcel;sportsperson;1940-06-17 12:00;;;Saint-Tropez;FR;83;2976742;6.65;43.26667;
17;Augert;Jean-Noël;sportsperson;1949-08-17 23:50;;;Longefan;FR;73;12309020;6.35;45.28333;
18;Azarette;Jean-Louis;sportsperson;1945-05-08 07:00;;;Saint-Jean-de-Luz;FR;64;2979309;-1.65;43.38333;
19;Baert;Dirk;sportsperson;1949-02-14 15:30;;;Kreupel;BE;VWV;2793982;3.33333;50.8;
20;Baeza;Jean;sportsperson;1942-08-20 08:00;;;Les Horizons Bleus;DZ;;2490856;3;36.83333;
21;Bahamontes;Federico;sportsperson;1928-07-09 15:00;;;Buenavista;ES;TO;2520767;-4.03333;39.86667;
22;Balmanion;Franco;sportsperson;1940-01-11 23:30;;;Rivarolo Canavese;IT;TO;3169253;7.71667;45.33333;
23;Bambuck;Roger;sportsperson;1945-11-22 01:15;;;Darboussier;GP;971;3579442;-61.53333;16.23333;
24;Baraffe;Edmond;sportsperson;1942-10-19 07:30;;;Annoeullin;FR;59;3037520;2.93333;50.53333;
25;Bard;Henri;sportsperson;1892-04-29 11:00;;;Lyon 01;FR;69;6949674;4.83333;45.76667;
26;Barrau;Max;sportsperson;1950-11-26 19:30;;;Beaumont-de-Lomagne;FR;82;3034170;0.98333;43.88333;
27;Barthel;Josy;sportsperson;1927-04-24 14:30;;;Mamer;LU;9;2960299;6.01667;49.61667;
28;Bartholetti;Paul;sportsperson;1926-02-24 02:00;;;Spincourt;FR;55;2973856;5.66667;49.33333;
29;Basso;Marino;sportsperson;1945-06-01 14:10;;;Vicenza;IT;VI;3164419;11.53333;45.55;
30;Bastiat;Jean-Pierre;sportsperson;1949-04-11 07:30;;;Pouillon;FR;40;2985849;-1;43.6;
31;Baud;Jean-Jacques;sportsperson;1947-09-26 16:00;;;La Hêtrée;FR;76;3008738;1.53333;49.61667;
32;Baumgartner;Hans;sportsperson;1949-05-30 09:30;;;Stühlingen;DE;83;2825429;8.45;47.75;
33;Beccali;Luigi;sportsperson;1907-11-19 02:00;;;San Babila;IT;MI;12022987;9.2;45.46667;
34;Beghetto;Giuseppe;sportsperson;1939-10-08 02:30;;;Padua;IT;PD;3171728;11.88333;45.4;
35;Begou;Yves;sportsperson;1938-02-01 10:00;;;Matabiau;FR;31;12319114;1.45;43.61667;
36;Beheyt;Benoni;sportsperson;1940-09-27 14:30;;;Buchten;BE;VOV;2800785;3.7;51.03333;
37;Behr;Pamela;sportsperson;1956-09-21 03:30;;;Bad Hindelang;DE;97;2904473;10.38333;47.51667;
38;Benesis;René;sportsperson;1944-08-29 07:00;;;Départ;FR;64;12312469;-0.76667;43.48333;
39;Ben;Hamo;sportsperson;1930-03-22 04:00;;;Garcelles-Secqueville;FR;14;3016677;-0.28333;49.1;
40;Berejnoi;Jean-Claude;sportsperson;1939-04-20 12:00;;;Decazeville;FR;12;3021664;2.25;44.56667;
41;Bereta;Georges;sportsperson;1946-05-11 04:00;;;Saint-Etienne;FR;42;2980291;4.38333;45.43333;
42;Berland;Roland;sportsperson;1945-02-26 16:30;;;Les Barres;FR;85;12310904;-0.91667;46.51667;
43;Berot;Jean-Louis;sportsperson;1947-07-28 05:15;;;Dax;FR;40;3021670;-1.05;43.71667;
44;Berruti;Livio;sportsperson;1939-05-19 20:30;;;Crocetta;IT;TO;11288635;7.66667;45.06667;
45;Bertini;Mario;sportsperson;1944-01-07 21:30;;;Prato;IT;PO;3169921;11.1;43.88333;
46;Bertranne;Roland;sportsperson;1949-12-06 07:00;;;Ger;FR;64;3016282;-0.03333;43.25;
47;Besson;Colette;sportsperson;1946-04-07 19:30;;;Saint-Georges-de-Didonne;FR;17;2979941;-1;45.6;
48;Betta;André;sportsperson;1944-03-04 08:30;;;Faubourg-Saint-Martin;FR;21;3018984;4.83333;47.03333;
49;Biancheri;Henri;sportsperson;1932-07-30 17:00;;;Madrague de la Ville;FR;13;2996839;5.36667;43.3;
50;Biemouret;Paul;sportsperson;1943-04-11 07:00;;;Le Faubourg;FR;32;12323362;0.63333;43.93333;
51;Birlenbach;Heinfried;sportsperson;1940-12-07 00:45;;;Siegen;DE;59;2832495;8.03333;50.86667;
52;Birrell;William;sportsperson;1897-03-13 06:30;;;Kilrenny;GB;V1;2645554;-2.66667;56.25;
53;Bitossi;Franco;sportsperson;1940-09-01 20:00;;;Fortezza da Basso;IT;FI;12023186;11.25;43.78333;
54;Blair;Jimmy;sportsperson;1888-05-11 21:00;;;Cuthill;GB;;13269093;-3;55.95;
