slug;wd;fr;en;parents
actor;Q33999;Acteur;Actor;artist
aircraft-pilot;Q2095549;Aviateur;Aircraft pilot;sportsperson
american-football-player;Q19204627;Joueur de football américain;American football player;sportsperson
anthropologist;Q4773904;Anthropologue;Anthropologist;researcher
archer;Q13382355;Archer;Archer;sportsperson
architect;Q42973;Architecte;Architect;
artist;Q483501;Artiste;Artist;
athletics-competitor;Q11513337;Athléte;Athletics competitor;sportsperson
astronomer;Q11063;Astronome;Astronomer;scientist
bacteriologist;Q15816836;bactériologiste;Bacteriologist;scientist
badminton-player;Q13141064;Joueur de badminton;Badminton player;sportsperson
baseball-player;Q10871364;Joueur de baseball;Baseball player;sportsperson
basketball-player;Q3665646;Joueur de basket-ball;Basketball player;sportsperson
basque-pelota-player;Q19746576;Joueur de pelote basque;Basque pelota player;sportsperson
billard-player;Q18544928;Joueur de billard;Billard player;sportsperson
biologist;Q864503;Biologiste;Biologist;scientist
bobsledder;Q177275;Pilote de bobsleigh;Bobsleigh pilot;winter-sports-practitioner
bowler;Q4951095;Joueur de bowling;Bowling player;sportsperson
boxer;Q11338576;Boxeur;Boxer;sportsperson
canoeist;Q13382566;Canoëiste;Canoeist;sportsperson
cartoonist;Q1114448;Réalisateur de dessins animés;Cartoonist;artist
catholic-priest;Q250867;Prêtre catholique;Catholic priest;religious-occupation
chemist;Q593644;Chimiste;Chemist;scientist
comedy-writer;Q11914886;Auteur de comédies;Comedy writer;writer
composer;Q36834;Compositeur;Composer;musician
computer-scientist;Q82594;Informaticien;Computer scientist;scientist
conductor-of-military-band;;Chef d'orchestre militaire;Conductor of military band;conductor+military-personnel
conductor;Q158852;Chef d’orchestre;Conductor;musician
cyclist;Q2125610;Cycliste;Cyclist;sportsperson
dancer;Q5716684;Danseur;Dancer;artist
diver;Q16004431;Plongeur;Diver;sportsperson
engineer;Q81096;Ingénieur;Engineer;scientist
equestrian;Q2730732;Cavalier;Equestrian;sportsperson
executive;Q978044;Cadre dirigeant;Executive;
factual-writer;;Ecrivain factuel;Factual writer;writer
feminist;Q34074720;Féministe;Feminist;
fencer;Q13381863;Escrimeur;Fencer;sportsperson
fictional-writer;;Ecrivain de fictions;Fictional writer;writer
field-hockey-player;Q10843263;Joueur de hockey sur gazon;Field hockey player;sportsperson
figure-skater;Q13219587;Patineur artistique;Figure skater;ice-skater
football-player;Q937857;Joueur de football;Soccer player;sportsperson
furniture-designer;Q11455387;Concepteur de meubles;Furniture designer;
geophysicist;Q12094958;Géophysicien;Geopysicist;physicist
golfer;Q11303721;Joueur de golf;Golfer;sportsperson
graphic-artist;Q1925963;Artiste graphique;Graphic artist;artist
gymnast;Q16947675;Gymnaste;Gymnast;sportsperson
handball-player;Q12840545;Joueur de handball;Handball player;sportsperson
historian-of-science;Q16063546;Historien des sciences;Historian of science;scientist
humanities-scholar;Q16727193;Scientifique de l'esprit;Humanities scholar;researcher
ice-hockey-player;Q11774891;Joueur de hockey sur glace;Ice hockey player;ice-sport-practitioner
ice-skater;Q9394993;Patineur sur glace;Ice skater;ice-sport-practitioner
ice-sport-practitioner;Q98073294;;Ice sport athlete;winter-sports-practitioner
interior-designer;Q2133309;Designer d'intérieur;Interior designer;
journalist;Q1930187;Journaliste;Journalist;
judoka;Q6665249;Judoka;Judoka;sportsperson
jurist;Q185351;Juriste;Jurist;legal-profession
kayaker;Q16004471;Kayakeur;Kayaker;sportsperson
lawyer;Q40348;Avocat;Lawyer;legal-profession
legal-profession;Q15987302;Profession juridique;Legal profession;
logician;Q14565331;Logicien;Logician;mathematician+philosopher
mathematician;Q170790;Mathématicien;Mathematician;scientist
military-personnel;Q47064;Militaire;Military personnel;
miscelaneous;;Divers;Miscelaneous;
modern-pentathlete;Q15972912;Pentathlonien;Pentathlete;sportsperson
monarch;Q116;Monarque;Monarch;
motor-sports-competitor;Q30339659;Compétiteur de sport automobile;Motor sports competitor;sportsperson
mountaineer;Q9149093;Alpiniste;Mountaineer;sportsperson
musician;Q639669;Musicien;Musician;artist
mystic;Q12328016;Mystique;Mystic;
naturalist;Q18805;Naturaliste;Naturalist;scientist
novelist;Q6625963;Romancier;Novelist;writer
opera-singer;Q2865819;Chanteur d'opéra;Opera singer;singer
painter;Q1028181;Peintre;Painter;graphic-artist
partner-of-celebrity;;Partenaire de célebrité;Partner of celebrity;
pedagogue;Q1231865;Pédagogue;Pedagogue;
philosopher;Q4964182;Philosophe;Philosopher;
philosopher-of-science;Q16389557;Philosophe des sciences;Philosopher of science;
photographer;Q33231;Photographe;Photographer;artist
physician;Q39631;Médecin;Physician;
physicist;Q169470;Physicien;Physicist;scientist
physiologist;Q2055046;Physiologiste;Physiologist;biologist
