Satz#;NAME;VORNAME;GEBDAT;;;GEBZEIT;;AMPM;ZEITZONE;GEBORT;LO1;LO2;LA1;LA2;SPORTART;MARS;BATCH
1;Aaron;Henry Louis;5;2;1934;8;25;P;6;AL;88;3;30;41;BASE;21;1
2;Abell;Earl/C;29;5;1892;6;40;A;6;WI;89;28;43;33;FOOT;14;2
3;Abramowicz;Daniel;13;7;1945;9;16;A;5;OH;80;37;40;22;FOOT;9;1
4;Adamle;Mike;10;10;1949;12;43;A;5;OH;81;22;41;9;FOOT;35;2
5;Adams;George;15;5;1949;9;0;P;5;NC;81;20;35;15;BASK;23;3
6;Adams;Pete;4;5;1951;4;58;A;8;CA;117;9;32;43;FOOT;34;2
7;Allen;Elisabeth Christina;24;11;1950;8;40;A;5;SC;81;3;34;0;SKII;34;1
8;Ameche;Alan D.;1;6;1933;8;0;P;6;WI;87;49;42;35;FOOT;12;1
9;Anderson;Ken;16;1;1933;5;30;P;6;WI;90;19;44;57;BASK;30;3
10;Anderson;Walter;16;7;1936;12;0;A;5;NS;82;28;35;19;FOOT;28;2
11;Anet;Charles/Robert;11;8;1917;4;25;P;8;OR;123;50;46;11;BASK;17;3
12;Armstrong;Warren;29;8;1946;2;8;P;6;KS;94;37;39;7;BASK;9;1
13;Ashe;Arthur;10;7;1943;12;55;P;5;VA;77;27;37;32;TENN;16;1
14;Baer;Buddy(Jacob Henry);11;6;1915;5;30;P;7;CO;104;59;39;44;BOXI;21;3
15;Baker;Terry;5;5;1941;11;15;A;6;MN;94;24;46;43;FOOT;17;3
16;Baker;Thane;4;10;1931;4;15;A;6;KS;101;54;37;0;TRAC;30;2
17;Bakken;James L;2;11;1940;4;51;A;6;WI;89;24;43;4;FOOT;1;1
18;Barksdale;Don;31;3;1923;12;35;P;8;CA;122;16;37;48;BASK;7;3
19;Barnes;Lee;16;7;1906;3;0;P;7;UT;111;53;40;45;TRAC;12;2
20;Barry;Richard;28;3;1944;2;32;P;5;NJ;74;13;40;40;BASK;5;1
21;Bateman;Mary;5;4;1950;8;9;A;7;UT;111;53;40;45;FOOT;22;2
22;Battles;Clifford;1;5;1910;10;31;P;6;OH;81;31;41;5;FOOT;19;1
23;Baughan;Maxis C;3;8;1938;7;0;A;6;AL;87;53;32;39;FOOT;3;1
24;Beals;Alyn;27;4;1921;3;0;A;8;CA;121;35;39;9;FOOT;31;2
25;Beard;Ralph;1;12;1927;2;20;A;6;KY;86;28;37;47;BASK;32;2
26;Beck;Lew;9;4;1922;1;0;P;8;OR;118;47;45;40;BASK;24;2
27;Bellamy;Walt;24;7;1939;10;55;A;5;NC;77;3;35;7;BASK;26;1
28;Benington;John;31;12;1921;11;25;A;6;OH;83;39;41;2;BASK;17;2
29;Berardinelli;Giuseppe;28;3;1922;12;0;A;5;OH;81;42;41;30;BOXI;36;2
30;Bertelsen;James;26;2;1950;12;59;A;6;MN;93;6;44;57;FOOT;7;1
31;Bibby;Henry;24;11;1949;3;55;P;5;NC;78;27;36;6;BASK;22;2
32;Biffle;Jerome;20;3;1928;9;45;A;7;CO;104;59;39;44;TRAC;10;3
33;Bird;Roger;2;7;1942;11;45;P;6;KY;84;5;36;57;FOOT;34;2
34;Blanchard;Felix Anthony;11;12;1924;7;30;P;5;SC;80;15;34;13;FOOT;11;1
35;Blozis;Al;5;1;1919;7;0;P;5;NJ;74;6;40;52;TRAC;19;2
36;Born;Bertram;6;6;1932;11;30;A;6;KS;94;57;38;31;BASK;11;2
37;Borries;Fred;31;12;1911;8;0;P;6;KY;85;46;38;15;FOOT;9;2
38;Bottari;Victor;21;12;1916;11;0;A;8;CA;122;15;38;7;FOOT;5;2
39;Bourland;Clifford;1;1;1921;6;10;P;8;CA;118;15;34;3;TRAC;15;2
40;Bradds;Gary;26;7;1942;4;15;A;5;OH;83;44;39;39;BASK;29;2
41;Bragg;Don;15;5;1935;3;20;P;5;NJ;75;38;39;43;TRAC;35;2
42;Brennan;Terrance;11;6;1928;7;35;A;6;WI;87;55;43;2;FOOT;9;2
43;Brown;B./Stanley;4;8;1949;4;40;P;8;CA;122;8;38;1;FOOT;18;2
44;Brown;Robert Stanford;8;12;1941;4;15;A;5;OH;81;42;41;30;FOOT;21;1
45;Brown;Roger L;1;5;1937;5;0;A;5;VA;76;50;37;8;FOOT;16;1
46;Buchanon;Willie;4;11;1950;5;21;A;8;CA;117;23;33;12;FOOT;31;2
47;Budd;Frank;20;7;1939;6;35;A;5;NJ;74;0;40;18;TRAC;19;2
48;Budge;John Donald;13;6;1915;4;0;A;8;CA;122;16;37;48;TENN;2;1
49;Burleson;Tom;24;2;1952;5;18;P;5;NC;81;56;36;5;BASK;28;2
50;Button;Richard T;18;7;1929;3;34;P;5;NJ;73;59;40;54;ICES;9;1
51;Campbell;Milton;9;12;1933;3;22;P;5;NJ;74;25;40;37;TRAC;12;2
52;Carpenter;Kenneth;19;4;1913;10;0;A;8;CA;118;13;33;54;TRAC;11;2
53;Carrier;Darel;26;10;1940;12;40;A;6;KY;86;25;37;0;BOXI;31;2
54;Carter;James/W;15;12;1923;1;0;A;5;SC;81;43;33;34;BOXI;33;2
55;Casper;William E;24;6;1931;10;24;A;8;CA;117;9;32;43;GOLF;1;1
56;Cassady;Howard;2;3;1934;6;20;A;5;OH;83;0;39;58;FOOT;35;1
57;Chadwick;Florence;9;11;1918;7;25;P;8;CA;117;9;32;43;SWIM;19;1
58;Chambers;Bill;13;12;1930;1;20;P;5;VA;79;9;37;25;BASK;22;3
59;Charles;John/C;9;5;1944;9;35;A;5;NJ;74;10;40;44;FOOT;36;2
60;Chenier;Pail;30;10;1950;4;30;A;8;CA;122;16;37;48;BASK;29;3
61;Cheyunski;James;29;12;1945;2;16;A;5;MA;71;1;42;5;FOOT;11;3
62;Clay;Cassius;17;1;1942;6;35;P;6;KY;85;46;38;15;BOXI;10;1
63;Collett;Wayne;20;10;1949;6;8;P;8;CA;118;15;34;3;TRAC;25;2
64;Combs;Glen;30;10;1946;4;10;P;6;KY;83;12;37;15;BASK;16;1
65;Concannon;John;25;2;1943;7;49;A;5;MA;71;3;42;22;FOOT;5;3
66;Cook;Gregory;20;11;1946;5;35;A;5;OH;82;59;39;20;FOOT;33;2
67;Cooper;John;6;2;1912;3;36;P;6;KY;87;46;37;48;BASK;6;2
68;Corbus;William;5;10;1911;10;30;P;8;CA;122;25;37;36;FOOT;3;2
69;Counsilman;James E;28;12;1920;10;30;A;6;AL;86;48;33;31;SWIM;2;1
70;Counts;Mel;16;10;1941;1;33;A;8;OR;124;13;43;22;BASK;12;2
71;Courtney;Tom;17;8;1933;1;35;A;5;NJ;74;10;40;44;TRAC;23;2
72;Cowens;David W;25;10;1948;4;28;A;5;KY;84;30;39;5;BASK;30;1
73;Cox;Johnny;1;11;1936;3;10;A;6;KY;82;43;37;12;BASK;2;2
74;Crandall;Cliff;26;9;1925;1;10;A;8;OR;123;50;46;11;BASK;29;2
75;Cronin;Joseph Edward;12;10;1906;12;0;A;8;CA;122;25;37;46;BASE;30;1
76;Csonka;Lawrence Richard;25;12;1946;5;53;A;5;OH;81;27;41;10;FOOT;34;1
77;Cunningham;Sam;15;8;1950;3;24;A;8;CA;119;42;34;25;FOOT;25;1
78;Curtis;Isaac;20;10;1950;8;19;A;8;CA;117;52;33;46;FOOT;34;1
79;Dale;Carroll W;24;4;1938;4;40;A;5;VA;82;34;36;49;FOOT;32;1
80;Dallmar;Howard;24;5;1922;4;30;P;8;CA;122;25;37;46;BASK;31;2
81;Dandridge;Bob;15;11;1947;1;25;P;5;VA;77;27;37;32;BASK;19;1
82;Darrow;Jimmy;25;9;1937;11;45;A;5;OH;81;31;41;5;BASK;34;2
83;Davenport;Willie;8;6;1943;11;0;P;6;AL;85;58;31;48;TRAC;32;1
84;Davis;Glen;26;12;1924;6;40;A;8;CA;117;43;34;6;FOOT;29;1
85;Davis;Harold;5;1;1921;2;21;A;8;CA;121;39;36;40;AUTO;26;2
86;Davis;Ken;12;9;1948;9;30;P;6;Ky;84;50;36;50;BASK;21;2
87;Davis;Otis;12;7;1932;8;0;A;6;AL;87;34;33;12;TRAC;8;2
88;Dawson;Leonhard Ray;20;6;1935;10;30;P;5;OH;81;6;40;55;FOOT;15;1
89;Demarco;Robert A;16;9;1938;10;25;A;5;NJ;74;4;40;44;FOOT;8;1
90;Dempsey;Tom;12;1;1947;1;22;A;6;WI;87;55;43;2;FOOT;29;1
91;Dillard;Harrison;8;7;1923;7;32;A;5;OH;81;42;41;30;TRAC;3;2
92;Doll;Robert;10;8;1919;12;10;A;7;CO;105;17;40;1;BASK;29;3
93;Donoher;Don;21;1;1932;10;45;P;5;OH;83;32;41;39;BASK;25;2
94;Douglass;Bobby;22;6;1947;6;2;A;6;KS;96;34;39;11;FOOT;5;2
95;Driesell;Charles;25;12;1931;1;30;P;5;VA;76;17;36;51;BASK;11;2
96;Duffield;Marshall;5;8;1910;4;30;P;7;UT;111;53;40;45;FOOT;13;2
97;Duncan;James;3;8;1946;3;46;A;5;SC;80;46;34;43;FOOT;28;2
98;Dye;William;1;4;1915;8;0;P;6;OH;80;46;41;44;BASK;25;2
99;Eastman;Ben;9;7;1911;7;0;P;8;CA;122;21;37;34;TRAC;28;2
100;Ebert;Paul;11;8;1932;10;20;A;5;OH;83;0;39;58;BASK;10;2
101;Ebling;Ray;28;1;1915;4;0;P;6;KS;97;40;38;35;BASK;17;2
102;Eller;Carl;25;2;1942;3;18;A;5;NC;80;15;36;6;FOOT;22;1
103;Ellis;Jimmy;24;2;1940;9;58;P;6;KY;85;46;38;15;BOXI;18;2
104;Embry;Wayne B;26;3;1937;10;55;A;5;OH;83;49;39;55;BASK;21;1
105;Englund;Gene;21;10;1917;8;0;P;6;WI;87;49;42;35;BASK;28;2
106;Ernest;Vinnie;29;1;1942;6;52;A;5;NJ;74;4;40;44;BASK;29;3
107;Evans;Billy;13;9;1932;11;45;P;6;KY;84;17;37;34;BASK;35;3
108;Evans;Raymond;22;9;1922;11;30;P;6;KS;94;37;39;7;FOOT;19;2
109;Faggs;Heriwenta Mae;10;4;1932;3;30;P;5;NJ;74;44;39;27;TRAC;16;2
110;Faison;Earle(William);31;1;1939;1;40;P;5;VA;76;25;36;59;FOOT;20;2
111;Feerick;Bob;2;1;1920;10;0;P;8;CA;122;25;37;46;BASK;32;2
112;Ferguson;Robert;29;8;1939;5;0;P;5;OH;83;0;39;58;FOOT;36;2
113;Ferrin;Arnie;29;7;1925;1;35;P;7;UT;111;53;40;45;BASK;9;2
114;Finkel;Henry;20;4;1942;2;20;A;5;NJ;74;2;40;45;BASK;22;2
115;Floyd;Darrell;11;5;1932;5;30;P;5;NC;80;5;35;53;BASK;19;2
116;Fonville;Charles;27;4;1927;11;45;A;6;AL;86;48;33;31;TRAC;4;2
117;Fortunato;Joseph F;28;3;1931;1;0;A;5;OH;80;39;40;18;FOOT;15;1
118;Fosbury;Dick;6;3;1947;12;7;P;8;OR;122;37;45;32;TRAC;10;1
119;Francis;Clarence;4;9;1932;8;0;P;5;OH;83;0;39;58;BASK;25;2
120;Frazier;Joe;17;1;1944;7;0;A;5;SC;80;40;32;26;BOXI;22;1
121;Fujii;Paul Takashi;6;7;1940;12;30;P1;0,5;HI;157;52;21;19;BOXI;8;3
122;Fullmer;Donald;21;2;1939;2;40;A;7;UT;111;55;40;36;BOXI;1;3
123;Fullmer;Gene;21;7;1931;3;35;P;7;UT;111;55;40;36;BOXI;9;3
