1M Acito, Alfredo;1898;05;22;01;20;-1;Pozzuoli NA;40,9;-14
2M Acquaviva, Cosimo;1884;08;20;13;30;-0,83;Taranto TA;40,5;-17,5
3M Adami, Giuseppe;1878;02;04;04;15;-0,83;Verona VE;45,5;-12,5
4M Addis, Filippo;1884;07;09;03;05;-0,6;Luras SS;40,8;-8,5
6M Alessio, Luigi;1902;05;08;19;00;-1;Caramagna CN;44,4;-7,25
7M Alliney, Giulio;1908;05;02;04;00;-1;Cantello VA;45,8;-9
8M Allodoli, Ettore;1882;02;06;13;30;-0,83;Firenze FI;43,7;-11,5
11M Alterocca, Arnaldo;1885;12;15;07;00;-0,83;Sammichele di Bari BA;41,2;-17
12M Alvi, Ciro;1872;04;27;09;00;-0,83;Todi PG;43;-13
13M Andalo, Guelfo;1888;11;24;06;00;-0,83;Massa Lombarda RA;44,4;-12,25
14M Angelini, Cesare;1886;08;02;08;11;-0,83;Albuzzano PV;45,2;-9
15M Aniante, Antonio;1900;01;02;09;00;-1;Viagrande CT;37,5;-15
18M Apostoli, Pietro;1902;10;22;02;07;-1;Filadelfia CZ;39;-17,5
21M Ardau, Giuseppe;1889;03;10;01;00;-0,6;Cagliari CA;39,4;-9
22M Argan, Giulio Carlo;1909;05;17;22;22;-1;Torino TO;45;-8
23M Arrighini,·Ambrogio;1887;01;17;16;00;-0,83;Milano MI;45,5;-9,25
26M Bacchelli, Riccardo;1891;04;19;12;00;-0,83;Bologna BO;44,5;-11
27M Bacci, Baccio Maria;1888;01;08;08;00;-0,83;Firenze FI;43,7;-11,5
29M Baganzani,Sandro;1889;02;08;15;00;-0,83;Verona VE;45,5;-12,5
31M Barbantini, Nino;1884;07;05;06;30;-0,83;Ferrara FE;44,7;-12,5
32M Barbarani, Berto;1872;12;03;02;30;-0,83;Verona VE;45,5;-12,5
33M Barbaro, Umberto;1902;01;03;19;30;-1;Acireale CT;37,5;-15
34M Bargellini, Piero;1897;08;05;03;45;-1;Firenze FI;43,7;-11,5
35M Barisoni, Eugenic;1886;07;08;04;30;-0,83;Novara NO;45,5;-9
36M Bartolini, Luigi;1892;02;08;08;00;-0,83;Cupramontana AN;43,7;-13,75
37M Battaglia, Carlo;1889;02;17;08;20;-0,88;Termini Imerese PA;38;-13,5
38M Bellomo, Probe;1904;02;03;01;00;-1;Savona SV;44,3;-8,75
39M Benedetti, Giulio;1910;06;01;10;30;-1;Lucca LU;43,7;-11
