"NUM","NAME","PRO","DATE","PLACE","COU","COD","LON","LAT",1955
1,"Alard Pierre","ATH","1937-09-17 17:00:00+00:00","BORDEAUX","FR",33,"-0.56667","44.83333",
2,"Andre Georges","ATH","1889-08-13 12:20:40+00:00","PARIS 8E","FR",75,"2.33333","48.83333",
3,"Arifon Jean","ATH","1926-11-16 06:00:00+00:00","MARSEILLE","FR",13,"5.36667","43.3",
4,"Auvergne Gilbert","ATH","1905-12-17 15:50:40+00:00","NICE","FR",6,"7.26667","43.7",
5,"Balastre Bernard","ATH","1937-08-29 03:30:00+00:00","BREST","FR",29,"-4.1",48,
6,"Bally Etienne","ATH","1923-04-17 01:00:00+00:00","VENNISSIEUX","FR",69,"4.83333","45.76667","570SPO"
7,"Baraton Georges","ATH","1904-04-12 22:50:40+00:00","SAULZAISLEPOTIE","FR",18,"2.38333","47.08333",
8,"Battista Eric","ATH","1933-05-14 10:00:00+00:00","SETE","FR",34,"3.88333","43.61667",
9,"Bazennerye Rene","ATH","1913-12-11 11:00:00+00:00","COSNE","FR",58,"3.15","46.98333","570SPO"
10,"Gauquelin-A1-10","ATH","1900-07-24 01:50:40+00:00","BOULOGNE-BILLANC","FR",92,"2.18333","48.83333","570SPO"
11,"Gauquelin-A1-11","ATH","1931-12-31 23:00:00+00:00","SEPMERIES","FR",59,"3.08333","50.65",
12,"Bobin Robert","ATH","1920-08-02 05:00:00+00:00","COURLAY","FR",79,"-0.45","46.31667",
13,"Boccardo Jean","ATH","1942-03-06 17:00:00+00:00","ESPERAZA","FR",11,"2.35","43.2",
14,"Boeckel Paul","ATH","1916-03-14 05:00:00+00:00","CREST","FR",26,"4.9","44.93333","570SPO"
15,"Bogey Robert","ATH","1935-12-25 16:30:00+00:00","AIX-LES-BAINS","FR",73,"5.91667","45.56667",
16,"Bonino Rene","ATH","1930-01-14 01:00:00+00:00","BEAUSOLEIL","FR",6,"7.26667","43.7",
17,"Bouin Jean","ATH","1888-12-21 00:38:32+00:00","MARSEILLE","FR",13,"5.36667","43.3","570SPO"
